threshold,recall_yes,f1_yes
0.33,1.0,0.9909365558912386
0.34,1.0,0.9909365558912386
0.35,1.0,0.9909365558912386
0.36,1.0,0.9909365558912386
0.37,1.0,0.9909365558912386
0.38,1.0,0.9909365558912386
0.39,1.0,0.9909365558912386
0.4,1.0,0.9909365558912386
0.41,1.0,0.9909365558912386
0.42,1.0,0.9909365558912386
0.43,1.0,0.9909365558912386
0.44,1.0,0.9909365558912386
0.45,1.0,0.9909365558912386
0.46,1.0,0.9909365558912386
0.47,1.0,0.9909365558912386
0.48,1.0,0.9909365558912386
0.49,1.0,0.9909365558912386
0.5,1.0,0.9909365558912386
0.51,1.0,0.9909365558912386
0.52,1.0,0.9909365558912386
0.1,1.0,0.9879518072289156
0.11,1.0,0.9879518072289156
0.12,1.0,0.9879518072289156
0.13,1.0,0.9879518072289156
0.14,1.0,0.9879518072289156
0.15,1.0,0.9879518072289156
0.16,1.0,0.9879518072289156
0.17,1.0,0.9879518072289156
0.18,1.0,0.9879518072289156
0.19,1.0,0.9879518072289156
0.2,1.0,0.9879518072289156
0.21,1.0,0.9879518072289156
0.22,1.0,0.9879518072289156
0.23,1.0,0.9879518072289156
0.24,1.0,0.9879518072289156
0.25,1.0,0.9879518072289156
0.26,1.0,0.9879518072289156
0.27,1.0,0.9879518072289156
0.28,1.0,0.9879518072289156
0.29,1.0,0.9879518072289156
0.3,1.0,0.9879518072289156
0.31,1.0,0.9879518072289156
0.32,1.0,0.9879518072289156
0.53,0.9939024390243902,0.9878787878787879
0.54,0.9939024390243902,0.9878787878787879
0.55,0.9878048780487805,0.9848024316109423
0.56,0.9817073170731707,0.9817073170731707
0.57,0.9695121951219512,0.9754601226993865
0.58,0.9451219512195121,0.9627329192546584
0.59,0.926829268292683,0.9559748427672956
0.6,0.9085365853658537,0.946031746031746
0.61,0.8780487804878049,0.9320388349514563
0.62,0.8597560975609756,0.9215686274509803
0.63,0.8414634146341463,0.9108910891089109
0.64,0.7987804878048781,0.8851351351351351
0.65,0.7621951219512195,0.8620689655172413
0.66,0.6280487804878049,0.7686567164179104
0.67,0.5548780487804879,0.7109375
0.68,0.39634146341463417,0.5676855895196506
0.69,0.31097560975609756,0.4744186046511628
0.7,0.20121951219512196,0.3350253807106599
0.71,0.12804878048780488,0.22702702702702704
0.72,0.08536585365853659,0.15730337078651685
0.73,0.042682926829268296,0.08187134502923976
0.74,0.03048780487804878,0.05917159763313609
0.75,0.024390243902439025,0.047619047619047616
0.76,0.006097560975609756,0.012121212121212121
0.77,0.0,0.0
0.78,0.0,0.0
0.79,0.0,0.0
0.8,0.0,0.0
0.81,0.0,0.0
0.82,0.0,0.0
0.83,0.0,0.0
0.84,0.0,0.0
0.85,0.0,0.0
0.86,0.0,0.0
0.87,0.0,0.0
0.88,0.0,0.0
0.89,0.0,0.0
0.9,0.0,0.0
