dataset,accuracy,precision_yes,recall_yes,f1_yes,f1_weighted,roc_auc
validation,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.7789634146341463
test,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.9696969696969697
