dataset,model,accuracy,precision_yes,recall_yes,f1_yes,f1_weighted,roc_auc
train,knn,1.0,1.0,1.0,1.0,1.0,1.0
validation,knn,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.836890243902439
test,knn,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9833333333333334
