experiment,model,dataset,fitness,accuracy,precision_yes,recall_yes,f1_yes,f1_weighted,roc_auc
E1_pop6_mut10,logistic_regression,validation,0.9867817548305353,0.9761904761904762,0.9819277108433735,0.9939024390243902,0.9878787878787879,0.9722943722943724,0.8917682926829268
E1_pop6_mut10,logistic_regression,test,0.9867817548305353,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.953030303030303
E1_pop6_mut10,decision_tree,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.5
E1_pop6_mut10,decision_tree,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.5
E1_pop6_mut10,random_forest,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.888719512195122
E1_pop6_mut10,random_forest,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9575757575757576
E1_pop6_mut10,knn,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.8155487804878049
E1_pop6_mut10,knn,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9553030303030303
E2_pop8_mut30,logistic_regression,validation,0.9867817548305353,0.9761904761904762,0.9819277108433735,0.9939024390243902,0.9878787878787879,0.9722943722943724,0.899390243902439
E2_pop8_mut30,logistic_regression,test,0.9867817548305353,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.956060606060606
E2_pop8_mut30,decision_tree,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.65625
E2_pop8_mut30,decision_tree,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.7992424242424242
E2_pop8_mut30,random_forest,validation,0.9919238239102287,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.836890243902439
E2_pop8_mut30,random_forest,test,0.9919238239102287,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.9727272727272727
E2_pop8_mut30,knn,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.8376524390243902
E2_pop8_mut30,knn,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9787878787878788
E3_pop12_mut50,logistic_regression,validation,0.9919238239102287,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.8917682926829268
E3_pop12_mut50,logistic_regression,test,0.9919238239102287,0.9940828402366864,0.9939759036144579,1.0,0.9969788519637462,0.9936691242756779,0.953030303030303
E3_pop12_mut50,decision_tree,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.5
E3_pop12_mut50,decision_tree,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.5
E3_pop12_mut50,random_forest,validation,0.9892426850258176,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.9542682926829269
E3_pop12_mut50,random_forest,test,0.9892426850258176,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9696969696969697
E3_pop12_mut50,knn,validation,0.9919238239102287,0.9821428571428571,0.9820359281437125,1.0,0.9909365558912386,0.9768666378938281,0.7240853658536586
E3_pop12_mut50,knn,test,0.9919238239102287,0.9822485207100592,0.9939024390243902,0.9878787878787879,0.9908814589665653,0.9832077360718932,0.8666666666666667
