experiment,model,generation,best_fitness,best_accuracy_cv,best_recall_cv,best_f1_cv,mean_fitness
E1_pop6_mut10,logistic_regression,1,0.9938734045558291,0.9900792079207921,0.9959389816532674,0.9949134983942816,0.9781257317495702
E1_pop6_mut10,logistic_regression,2,0.9938734045558291,0.9900792079207921,0.9959389816532674,0.9949134983942816,0.9931694323763615
E1_pop6_mut10,logistic_regression,3,0.9938734045558291,0.9900792079207921,0.9959389816532674,0.9949134983942816,0.9938734045558292
E1_pop6_mut10,logistic_regression,4,0.9938734045558291,0.9900792079207921,0.9959389816532674,0.9949134983942816,0.9927200249508014
E1_pop6_mut10,decision_tree,1,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.8537040974920379
E1_pop6_mut10,decision_tree,2,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E1_pop6_mut10,decision_tree,3,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E1_pop6_mut10,decision_tree,4,0.9901368519766549,0.978178217821782,1.0,0.9889446221004009,0.9893930587531115
E1_pop6_mut10,random_forest,1,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9724573579885494
E1_pop6_mut10,random_forest,2,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E1_pop6_mut10,random_forest,3,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E1_pop6_mut10,random_forest,4,0.9892443001084028,0.9761980198019803,1.0,0.9879496472260291,0.9892443001084029
E1_pop6_mut10,knn,1,0.9901368519766549,0.978178217821782,1.0,0.9889446221004009,0.9893930587531115
E1_pop6_mut10,knn,2,0.9901368519766549,0.978178217821782,1.0,0.9889446221004009,0.9896905760425287
E1_pop6_mut10,knn,3,0.9901368519766549,0.978178217821782,1.0,0.9889446221004009,0.990136851976655
E1_pop6_mut10,knn,4,0.9901368519766549,0.978178217821782,1.0,0.9889446221004009,0.990136851976655
E2_pop8_mut30,logistic_regression,1,0.9955831583503476,0.992059405940594,0.9979591836734694,0.995938876995939,0.856169094752806
E2_pop8_mut30,logistic_regression,2,0.9955831583503476,0.992059405940594,0.9979591836734694,0.995938876995939,0.9935767983053425
E2_pop8_mut30,logistic_regression,3,0.9955831583503476,0.992059405940594,0.9979591836734694,0.995938876995939,0.9857518981379372
E2_pop8_mut30,logistic_regression,4,0.9955831583503476,0.992059405940594,0.9979591836734694,0.995938876995939,0.9955831583503476
E2_pop8_mut30,logistic_regression,5,0.9955831583503476,0.992059405940594,0.9979591836734694,0.995938876995939,0.9955831583503476
E2_pop8_mut30,decision_tree,1,0.9893316507724033,0.9781980198019802,0.997979797979798,0.9889344187996333,0.8748176894645604
E2_pop8_mut30,decision_tree,2,0.9893316507724033,0.9781980198019802,0.997979797979798,0.9889344187996333,0.989287975440403
E2_pop8_mut30,decision_tree,3,0.9893316507724033,0.9781980198019802,0.997979797979798,0.9889344187996333,0.9893207319394032
E2_pop8_mut30,decision_tree,4,0.9901457921865446,0.9781980198019802,1.0,0.9889546208198352,0.9894334184491709
E2_pop8_mut30,decision_tree,5,0.9901457921865446,0.9781980198019802,1.0,0.9889546208198352,0.9898404891562416
E2_pop8_mut30,random_forest,1,0.9956065445123192,0.9920792079207921,0.997979797979798,0.9959695431472081,0.9515776463228611
E2_pop8_mut30,random_forest,2,0.9956065445123192,0.9920792079207921,0.997979797979798,0.9959695431472081,0.9873590847099183
E2_pop8_mut30,random_forest,3,0.9956065445123192,0.9920792079207921,0.997979797979798,0.9959695431472081,0.9943093730963036
E2_pop8_mut30,random_forest,4,0.9964146253204,0.9920792079207921,1.0,0.9959695431472081,0.9957075546133294
