model,dataset,accuracy,precision_yes,recall_yes,f1_yes,f1_weighted,roc_auc
logistic_regression,validation,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.6234756097560976
logistic_regression,test,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.6424242424242423
decision_tree,validation,0.9880952380952381,0.9879518072289156,1.0,0.9939393939393939,0.9861471861471861,0.9535060975609756
decision_tree,test,0.9704142011834319,0.9819277108433735,0.9878787878787879,0.9848942598187311,0.9683456213783893,0.9757575757575758
random_forest,validation,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.9222560975609756
random_forest,test,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9742424242424242
knn,validation,0.9761904761904762,0.9761904761904762,1.0,0.9879518072289156,0.9644291451520366,0.823170731707317
knn,test,0.9763313609467456,0.9763313609467456,1.0,0.9880239520958084,0.9646387697976828,0.9742424242424242
